Sector,MSME_ID,Export_Volume_PreFTA,Export_Volume_PostFTA_Est,Tariff_PreFTA,Tariff_PostFTA,UK_Demand_Growth,Production_Capacity,Export_Experience,Logistics_Cost,Certifications,Workforce_Size,FTA_Access_Score,UK_Market_Share,Sentiment_Score,Exchange_Rate_Impact,Procurement_Opportunity,Innovation_Index,Target_Export_Growth
electronics,MSME_EL00069,8.129999999999999,11.2,10.89,2.95,13.61,18.77,16,0.73,1,61,0.7,4.52,0.7,-6.3,True,0.63,87.93
chemicals,MSME_CH00070,6.6899999999999995,9.52,26.35,3.46,12.74,50.31,11,1.14,1,493,0.75,9.45,0.74,-9.32,True,0.44,33.25
marine products,MSME_MA00071,13.01,19.36,37.77,2.37,12.93,168.99,17,2.64,2,277,0.79,6.54,0.61,-2.71,False,0.41,50.7
footwear,MSME_FO00072,10.91,14.32,17.64,2.02,8.59,160.89,3,3.96,0,401,0.66,6.3,0.56,-5.34,False,0.3,87.66
alcoholic beverages,MSME_AL00073,0.21000000000000002,0.3,126.45,39.39,11.98,199.59,19,0.31,0,481,0.64,0.47,0.49,-0.4,False,0.42,30.81
leather,MSME_LE00074,2.64,3.0,13.45,2.61,2.32,1.17,12,1.81,1,328,0.46,7.18,0.42,8.21,False,0.31,15.4
gems and jewelry,MSME_GE00075,2.58,2.97,38.26,3.99,3.88,117.92,6,4.4,1,348,0.54,4.73,0.68,2.27,False,0.33,99.16
textiles,MSME_TE00076,1.4200000000000002,2.1,16.5,3.04,7.69,46.52,1,1.95,0,245,0.6,9.58,0.77,2.6,False,0.34,54.23
leather,MSME_LE00077,4.6499999999999995,6.09,10.41,2.58,-0.09,199.27,2,4.09,1,273,0.37,2.32,0.53,0.74,False,0.42,60.11
textiles,MSME_TE00078,0.58,0.84,12.66,0.65,13.33,191.15,11,0.23,2,44,0.81,9.32,0.7,-4.95,False,0.3,71.09
gems and jewelry,MSME_GE00079,0.35,0.46,38.48,0.55,13.42,198.3,17,2.5,3,322,0.83,5.96,0.7,6.49,False,0.37,69.41
marine products,MSME_MA00080,4.27,5.15,35.15,3.99,9.88,170.19,15,3.56,2,49,0.69,7.0,0.65,5.05,False,0.33,88.68
footwear,MSME_FO00081,10.37,11.53,33.03,0.64,5.03,148.83,17,4.1,1,81,0.62,5.12,0.63,-9.87,False,0.36,63.61
pharmaceuticals,MSME_PH00082,19.970000000000002,27.01,10.39,3.17,8.1,156.08,5,1.45,4,78,0.55,4.38,0.78,-6.41,False,0.75,79.94
leather,MSME_LE00083,1.05,1.48,37.89,0.83,2.71,141.86,0,0.34,3,214,0.56,8.73,0.56,9.47,False,0.49,76.22
gems and jewelry,MSME_GE00084,0.7999999999999999,1.12,0.98,0.11,4.85,97.98,18,1.3,2,30,0.56,1.67,0.68,-7.96,False,0.47,55.07
leather,MSME_LE00085,8.84,10.78,33.6,3.86,-2.7,26.7,2,4.76,3,444,0.38,4.38,0.5,8.87,False,0.38,65.66
chemicals,MSME_CH00086,2.63,3.18,39.36,2.05,13.41,46.38,2,0.2,0,284,0.81,3.75,0.7,9.36,True,0.34,87.52
marine products,MSME_MA00087,7.59,10.69,33.79,3.81,9.39,26.68,20,4.56,1,391,0.68,1.94,0.66,-0.76,False,0.3,61.84
chemicals,MSME_CH00088,4.77,5.72,22.34,1.13,2.41,130.48,20,1.38,3,76,0.53,3.17,0.69,-8.55,True,0.38,50.59
electronics,MSME_EL00089,4.68,5.69,27.8,4.3,17.8,8.4,18,0.57,0,80,0.87,9.87,0.7,-7.15,True,0.6,63.72
footwear,MSME_FO00090,6.159999999999999,8.15,0.39,1.63,7.77,18.03,12,0.46,0,120,0.0,3.64,0.58,6.43,False,0.31,68.69
electronics,MSME_EL00091,15.24,17.52,35.85,2.97,16.17,122.78,8,3.56,3,332,0.86,7.17,0.65,6.03,True,0.5,82.41
leather,MSME_LE00092,0.52,0.76,21.9,4.09,-0.48,128.89,8,0.86,1,463,0.39,7.28,0.59,-0.41,False,0.42,36.26
alcoholic beverages,MSME_AL00093,3.2800000000000002,4.58,143.59,34.34,0.65,32.75,5,3.61,1,41,0.4,9.96,0.5,9.5,False,0.43,23.96
alcoholic beverages,MSME_AL00094,5.8,6.55,101.53,32.58,6.94,173.72,19,3.16,3,368,0.51,7.7,0.61,0.28,False,0.42,7.79
footwear,MSME_FO00095,2.62,3.52,23.91,3.96,9.83,198.43,11,1.95,1,44,0.66,8.38,0.57,-5.28,False,0.46,43.5
marine products,MSME_MA00096,4.699999999999999,6.36,14.91,2.56,6.2,14.29,8,1.27,3,385,0.57,4.51,0.49,1.86,False,0.33,42.15
marine products,MSME_MA00097,17.540000000000003,21.11,26.27,1.63,11.6,26.61,12,1.22,2,399,0.76,8.85,0.61,-1.16,False,0.37,47.63
gems and jewelry,MSME_GE00098,5.63,6.52,17.98,2.94,14.23,50.88,19,1.93,2,425,0.77,3.63,0.72,4.11,False,0.39,87.1
leather,MSME_LE00099,4.18,5.5,1.37,4.93,-3.77,46.61,0,0.65,1,489,0.0,9.35,0.51,-3.68,False,0.4,8.95
electronics,MSME_EL00100,0.9,1.35,38.6,0.02,19.52,128.0,6,2.3,2,431,0.99,4.94,0.66,-9.4,True,0.48,71.94
alcoholic beverages,MSME_AL00101,1.23,1.68,148.5,30.94,10.09,89.03,4,4.82,2,294,0.65,6.65,0.47,9.57,False,0.37,6.66
chemicals,MSME_CH00102,1.5,2.15,34.58,3.84,1.7,159.2,3,3.4,2,291,0.49,6.62,0.78,-7.87,True,0.43,99.94
pharmaceuticals,MSME_PH00103,0.35,0.52,16.28,4.35,11.74,113.62,8,0.59,3,385,0.66,7.68,0.74,8.51,False,0.56,90.63
textiles,MSME_TE00104,10.61,13.02,18.69,1.88,4.45,129.99,20,1.66,1,203,0.56,5.68,0.79,1.93,False,0.41,47.22
pharmaceuticals,MSME_PH00105,0.17,0.23,6.74,3.21,11.39,100.34,20,4.32,5,454,0.55,4.84,0.69,-9.49,False,0.5,41.12
electronics,MSME_EL00106,2.64,3.52,21.34,3.04,17.65,162.69,17,3.59,2,497,0.87,8.24,0.75,-8.57,True,0.87,67.2
electronics,MSME_EL00107,2.49,2.94,19.17,0.97,11.66,123.66,20,1.46,2,161,0.77,8.05,0.69,0.78,True,0.49,62.98
marine products,MSME_MA00108,6.3999999999999995,7.74,16.54,0.61,2.72,136.38,9,4.01,2,75,0.55,3.02,0.57,8.36,False,0.38,13.27
pharmaceuticals,MSME_PH00109,8.56,10.69,21.06,0.56,0.04,127.78,20,4.43,2,30,0.49,2.2,0.83,2.22,False,0.55,84.79
marine products,MSME_MA00110,11.61,14.41,9.47,3.9,4.12,164.61,6,3.35,1,407,0.4,6.28,0.71,-6.64,False,0.45,86.97
marine products,MSME_MA00111,1.32,1.5,0.95,3.21,9.11,109.57,9,1.32,0,445,0.0,5.02,0.54,9.76,False,0.33,71.04
chemicals,MSME_CH00112,2.69,3.42,28.7,3.46,14.87,26.11,18,3.04,1,46,0.81,9.06,0.66,2.91,True,0.42,43.11
alcoholic beverages,MSME_AL00113,2.39,2.96,130.86,34.42,12.48,134.09,11,1.21,0,268,0.68,8.81,0.49,3.02,False,0.41,35.81
footwear,MSME_FO00114,2.12,2.9,39.77,3.31,8.37,146.26,19,0.35,3,446,0.67,9.58,0.58,-5.98,False,0.41,14.18
alcoholic beverages,MSME_AL00115,3.0900000000000003,4.33,117.38,36.65,11.93,185.47,12,0.64,2,108,0.64,0.3,0.4,4.74,False,0.45,28.15
textiles,MSME_TE00116,5.67,6.45,12.57,3.94,12.97,121.89,11,3.92,1,146,0.67,1.26,0.72,-2.38,False,0.37,27.71
pharmaceuticals,MSME_PH00117,3.66,5.23,11.19,4.71,13.1,32.77,10,2.89,5,105,0.62,3.97,0.74,0.02,False,0.54,56.27
alcoholic beverages,MSME_AL00118,5.04,6.9,126.62,37.21,2.12,42.79,13,0.45,0,167,0.41,1.82,0.4,9.51,False,0.43,83.14
footwear,MSME_FO00119,0.8099999999999999,1.17,36.91,2.44,9.09,153.08,19,2.54,0,394,0.69,1.55,0.62,-2.65,False,0.31,7.45
gems and jewelry,MSME_GE00120,0.83,1.23,21.98,4.83,6.49,62.71,13,4.39,0,320,0.55,8.53,0.57,-2.27,False,0.41,23.22
pharmaceuticals,MSME_PH00121,1.29,1.67,30.17,3.1,4.46,86.35,8,0.75,2,160,0.56,3.1,0.86,-7.98,False,0.72,10.92
footwear,MSME_FO00122,3.66,5.49,32.56,3.08,4.59,124.97,5,2.16,2,489,0.57,8.88,0.48,-2.64,False,0.38,83.62
marine products,MSME_MA00123,6.71,9.45,0.44,2.08,7.22,4.33,14,2.93,2,318,0.0,1.98,0.59,2.38,False,0.36,84.26
electronics,MSME_EL00124,5.06,5.97,2.58,0.21,13.71,53.54,10,2.3,3,260,0.8,1.07,0.64,-3.51,True,0.74,50.22
chemicals,MSME_CH00125,2.46,3.09,18.38,3.93,13.38,191.09,16,3.31,0,133,0.73,8.11,0.7,-8.47,True,0.36,93.38
textiles,MSME_TE00126,1.56,2.2,18.25,2.48,5.8,90.3,16,3.09,2,348,0.58,8.84,0.72,-9.24,False,0.45,67.61
footwear,MSME_FO00127,8.2,9.37,1.42,2.54,5.81,92.66,3,1.78,2,215,0.0,6.65,0.55,-6.3,False,0.33,14.35
alcoholic beverages,MSME_AL00128,5.5,7.73,113.25,30.21,1.23,193.59,7,3.86,0,333,0.4,3.88,0.43,2.3,False,0.45,66.17
electronics,MSME_EL00129,3.88,4.33,38.74,3.99,12.93,196.0,12,2.93,2,404,0.77,8.14,0.69,3.13,True,0.38,37.14
alcoholic beverages,MSME_AL00130,13.26,15.78,118.61,34.32,6.59,122.78,19,1.24,0,176,0.52,2.05,0.47,-4.28,False,0.46,86.83
pharmaceuticals,MSME_PH00131,9.469999999999999,13.9,10.09,3.78,6.91,168.48,7,2.81,4,240,0.49,0.63,0.84,-3.6,False,0.75,30.59
footwear,MSME_FO00132,3.98,5.54,4.32,3.43,1.38,193.04,14,2.55,3,48,0.14,7.35,0.67,0.17,False,0.36,58.68
alcoholic beverages,MSME_AL00133,5.9399999999999995,8.61,131.81,37.61,2.4,92.58,15,4.07,3,265,0.42,8.83,0.5,-4.44,False,0.34,88.58
leather,MSME_LE00134,5.46,6.69,29.69,4.08,1.15,137.73,15,3.93,3,424,0.46,0.15,0.46,9.16,False,0.37,36.06
electronics,MSME_EL00135,0.91,1.11,35.07,4.98,13.68,90.0,19,3.91,1,231,0.77,1.46,0.73,3.26,True,0.3,21.95
gems and jewelry,MSME_GE00136,0.25,0.29,7.25,1.94,6.03,174.92,13,3.63,0,340,0.52,2.33,0.64,-0.27,False,0.42,62.2
electronics,MSME_EL00137,0.22,0.27,25.46,0.74,16.95,149.31,5,1.09,3,196,0.91,5.25,0.71,-2.53,True,0.37,74.87
alcoholic beverages,MSME_AL00138,1.4500000000000002,1.81,103.13,38.01,11.5,146.86,12,0.91,1,264,0.6,5.01,0.48,9.82,False,0.45,75.3
alcoholic beverages,MSME_AL00139,15.11,17.85,128.28,39.8,2.48,140.2,12,3.5,2,369,0.41,7.85,0.4,-8.88,False,0.47,26.43
textiles,MSME_TE00140,2.47,3.17,14.81,2.18,14.06,141.35,3,0.3,2,423,0.78,4.42,0.8,-6.82,False,0.42,17.86
gems and jewelry,MSME_GE00141,7.06,9.62,38.26,0.34,0.86,56.8,6,1.27,3,274,0.52,2.57,0.69,-4.56,False,0.45,47.73
chemicals,MSME_CH00142,7.6,8.56,19.5,0.17,0.94,181.33,20,2.69,0,479,0.52,3.54,0.71,1.2,True,0.49,9.96
textiles,MSME_TE00143,2.81,3.38,17.31,4.91,3.85,131.01,4,2.85,2,375,0.45,9.72,0.75,2.17,False,0.37,15.84
pharmaceuticals,MSME_PH00144,0.9199999999999999,1.09,10.04,4.25,8.42,104.92,1,2.05,4,173,0.5,7.94,0.91,-5.48,False,0.81,45.72
gems and jewelry,MSME_GE00145,0.86,1.17,8.64,0.49,12.93,92.3,6,2.75,3,499,0.79,5.17,0.7,6.13,False,0.39,9.94
footwear,MSME_FO00146,7.819999999999999,9.23,10.34,0.82,4.95,151.47,14,1.06,0,83,0.58,8.81,0.53,-0.98,False,0.5,78.34
leather,MSME_LE00147,0.24000000000000002,0.27,18.56,4.55,0.39,99.81,5,1.89,2,93,0.39,4.03,0.53,-8.13,False,0.39,23.58
textiles,MSME_TE00148,1.1300000000000001,1.29,13.57,3.79,4.15,62.81,8,2.01,1,108,0.46,5.25,0.85,-6.68,False,0.42,39.49
leather,MSME_LE00149,11.469999999999999,13.39,20.28,2.99,-4.67,73.06,15,0.8,3,482,0.31,6.19,0.41,-8.33,False,0.48,81.34
pharmaceuticals,MSME_PH00150,3.62,5.38,16.71,4.92,10.02,127.12,3,4.99,3,227,0.6,6.6,0.82,-8.14,False,0.32,83.18
pharmaceuticals,MSME_PH00151,1.28,1.6,38.94,1.68,4.45,183.68,5,3.57,5,381,0.59,4.76,0.76,6.43,False,0.58,38.99
chemicals,MSME_CH00152,3.5100000000000002,5.02,13.41,0.87,10.68,165.28,0,1.24,3,38,0.73,3.54,0.78,3.02,True,0.42,38.48
pharmaceuticals,MSME_PH00153,9.31,12.0,39.16,3.17,1.89,135.4,1,1.61,5,160,0.51,6.85,0.78,-6.66,False,0.69,99.22
alcoholic beverages,MSME_AL00154,0.48,0.54,117.02,38.66,3.23,72.4,20,0.21,0,441,0.42,6.57,0.49,3.3,False,0.35,91.18
electronics,MSME_EL00155,5.6499999999999995,7.48,4.44,2.24,14.6,172.98,7,0.69,2,34,0.61,8.04,0.73,-0.42,True,0.31,45.04
electronics,MSME_EL00156,0.24000000000000002,0.36,5.1,3.54,19.73,165.29,18,4.03,3,177,0.65,9.63,0.65,6.59,True,0.47,87.91
chemicals,MSME_CH00157,0.7,0.97,21.63,0.48,3.63,2.97,19,1.54,2,313,0.58,3.04,0.75,-4.0,True,0.45,9.57
alcoholic beverages,MSME_AL00158,11.76,16.95,133.39,35.93,13.38,37.47,15,1.24,0,436,0.7,0.44,0.45,-8.73,False,0.47,61.9
electronics,MSME_EL00159,0.71,0.81,36.39,3.35,18.29,175.86,0,0.17,2,435,0.91,0.91,0.76,8.21,True,0.58,18.06
footwear,MSME_FO00160,2.18,2.54,6.82,4.74,6.68,157.87,18,1.23,2,352,0.32,1.13,0.54,3.04,False,0.49,62.06
alcoholic beverages,MSME_AL00161,6.8999999999999995,8.99,131.71,30.71,3.82,72.69,11,3.04,2,140,0.48,2.46,0.33,-0.61,False,0.39,49.93
marine products,MSME_MA00162,4.97,6.4,17.9,2.37,8.86,107.63,16,0.09,1,140,0.66,0.46,0.58,6.05,False,0.41,53.7
leather,MSME_LE00163,1.84,2.71,15.88,0.44,1.17,23.21,18,4.41,2,45,0.52,0.39,0.46,3.51,False,0.31,47.81
alcoholic beverages,MSME_AL00164,13.36,15.58,119.49,37.3,13.23,134.35,12,3.06,3,421,0.67,8.26,0.46,3.73,False,0.32,41.46
leather,MSME_LE00165,3.15,3.93,4.84,2.09,2.51,14.67,18,1.81,2,262,0.35,6.72,0.47,3.57,False,0.37,61.4
footwear,MSME_FO00166,0.15000000000000002,0.2,36.53,3.06,13.11,144.93,20,4.52,1,391,0.79,5.39,0.47,-0.28,False,0.42,9.16
marine products,MSME_MA00167,0.76,1.01,13.73,3.65,9.78,169.2,10,2.18,2,433,0.61,2.83,0.57,-3.87,False,0.46,47.41
gems and jewelry,MSME_GE00168,8.11,11.59,34.3,4.58,6.46,64.11,15,0.11,2,317,0.59,0.37,0.68,0.23,False,0.33,66.35
chemicals,MSME_CH00169,0.33,0.46,37.87,1.7,7.76,76.09,2,1.74,2,479,0.67,4.16,0.58,-3.78,True,0.44,62.55
alcoholic beverages,MSME_AL00170,2.37,2.81,149.4,34.54,10.32,28.54,4,1.18,3,447,0.64,5.37,0.36,-3.74,False,0.33,51.35
chemicals,MSME_CH00171,0.7999999999999999,1.15,14.82,1.87,7.11,89.1,17,4.14,0,289,0.61,2.96,0.63,9.22,True,0.38,41.62
pharmaceuticals,MSME_PH00172,2.18,2.87,6.17,2.77,8.13,152.5,18,1.81,3,420,0.48,7.12,0.8,3.55,False,0.44,83.92
leather,MSME_LE00173,4.04,4.71,23.32,5.0,-3.49,163.44,3,2.04,0,103,0.31,8.82,0.43,2.47,False,0.41,63.96
leather,MSME_LE00174,1.2200000000000002,1.53,1.58,2.38,0.43,45.94,20,3.02,1,177,0.0,4.64,0.47,3.62,False,0.39,8.27
pharmaceuticals,MSME_PH00175,17.57,26.0,20.52,0.47,11.32,98.64,3,1.46,2,450,0.77,7.64,0.8,-2.27,False,0.61,51.77
gems and jewelry,MSME_GE00176,4.409999999999999,6.38,39.23,2.04,12.41,153.02,3,4.04,2,52,0.78,9.96,0.58,-5.19,False,0.36,29.32
textiles,MSME_TE00177,0.26,0.39,12.21,3.67,11.44,185.89,10,4.37,1,302,0.64,6.36,0.8,2.89,False,0.46,36.67
